Resource or Program Name,Record Type,Category,Provider Type,Town,ZIP Code,Address,Ages or Population Served,Contact Name,Phone or Contact,Website,License or Registry ID,Infant/Toddler Funded Spaces FY26,Preschool Funded Spaces FY26,School-Age Funded Spaces FY26,Total Funded Spaces FY26,Local Governance Partner,Local Partner Contact,Availability or Cost Notes,Source,Verified or Accessed,Verification Notes
Our Lady of Fatima Day Care Center,Provider,Early Start CT funded child care,Child Care Center,Hartford,06106,"20 Madison Ave, Hartford, CT, 06106",Infant/Toddler; Preschool,Susan Rosa,(860) 308-3267,,DCCC.16299; Registry 406,8,37,0,45,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Paraiso Infantil,Provider,Early Start CT funded child care,Child Care Center,Hartford,06106,"45 Wadsworth St, Hartford, CT, 06106",Infant/Toddler; Preschool,Olga Toledo,(860) 524-6853,,DCCC.16531; Registry 646,32,20,0,52,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Pequenin Children Multicultural Readiness Academy,Provider,Early Start CT funded child care,Child Care Center,Hartford,06106,"37 Grace St, Hartford, CT, 06106",Infant/Toddler; Preschool,Miriam Mercado,(860) 951-0400,,DCCC.16523; Registry 1888,32,112,0,144,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Raquel Sabogal Family Child Care Home,Provider,Early Start CT funded child care,Family Home,Hartford,06106,"226 Saybrooke Street, Hartford, CT, 06106",Infant/Toddler,Arunan Arulampalam,(860) 757-9595,,DCFH.57438; Registry 9425,4,0,0,4,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Richard A. Battles Day Care,Provider,Early Start CT funded child care,Child Care Center,Hartford,06120,"30 Battles St, Hartford, CT, 06120",Infant/Toddler; Preschool,Julienne Davis,(860) 549-4380,,DCCC.15664; Registry 1455,32,138,0,170,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Right Place School Readiness Child & Family Center,Provider,Early Start CT funded child care,Child Care Center,Hartford,06105,"123 Sigourney St, Hartford, CT, 06105",Preschool,Taylor Pratt,(845) 620-7200,,DCCC.15162; Registry 680,0,40,0,40,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Rise and Shine Nursery & Pre-K Academy,Provider,Early Start CT funded child care,Child Care Center,Hartford,06106,"21 Newfield Street, Hartford, CT, 06106",Infant/Toddler; Preschool,Giovanna Quispe De Ibarra,(860) 357-8740,,DCCC.70644; Registry 9712,21,17,0,38,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Rosa Bodden Family Child Care Home (Tia Rosa's Child Care LLC),Provider,Early Start CT funded child care,Family Home,Hartford,06114,"316 West Preston Street, Hartford, CT, 06114",Infant/Toddler; Preschool,Arunan Arulampalam,(860) 757-9595,,DCFH.56523; Registry 7312,6,3,0,9,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
SS Cyril & Methodius Child Development Center,Provider,Early Start CT funded child care,Child Care Center,Hartford,06106,"35 Groton St, Hartford, CT, 06106",Preschool,Destiny Ramos,(860) 297-7810,,DCCC.70588; Registry 9368,0,57,0,57,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Tanisha Stevens Family Child Care Home,Provider,Early Start CT funded child care,Family Home,Hartford,06112,"157 Palm st, Hartford, CT, 06112",Infant/Toddler,Tanisha Stevens,(860) 897-8600,,DCFH.57976; Registry 12098,1,0,0,1,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Thomas T.D. Ritter Child Development Center,Provider,Early Start CT funded child care,Child Care Center,Hartford,06105,"555 Windsor St, Hartford, CT, 06105",Infant/Toddler; Preschool,Claudine Bernard,(860) 462-9482,,DCCC.14519; Registry 1443,40,44,0,84,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Tondra Jenkins Family Child Care Home,Provider,Early Start CT funded child care,Family Home,Hartford,06112,"92 Vine Street, Hartford, CT, 06112",Infant/Toddler,Arunan Arulampalam,(860) 757-9595,,DCFH.52032; Registry 4728,2,0,0,2,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Trinity College Community Child Center - Campus Care,Provider,Early Start CT funded child care,Child Care Center,Hartford,06106,"300 Summit St, Hartford, CT, 06106",Preschool,Kyla Siegmann,(860) 297-5374,,DCCC.14076; Registry 543,0,25,0,25,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Trinity College Community Child Center - Life Science,Provider,Early Start CT funded child care,Child Care Center,Hartford,06106,"300 Summit St, Hartford, CT, 06106",Infant/Toddler,Kyla Siegmann,(860) 297-5374,,DCCC.13443; Registry 1794,21,0,0,21,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Village Early Childhood Learning Center,Provider,Early Start CT funded child care,Child Care Center,Hartford,06105,"105 Spring St, Hartford, CT, 06105",Preschool,Chelsea Hare,(860) 833-0225,,DCCC.16592; Registry 1935,0,17,0,17,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Virginia Medina Family Child Care,Provider,Early Start CT funded child care,Family Home,Hartford,06106,"134 Bonner Street, Hartford, CT, 06106",Infant/Toddler,Arunan Arulampalam,(860) 757-9595,,DCFH.54785; Registry 6180,4,0,0,4,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Warburton Day Care Center,Provider,Early Start CT funded child care,Child Care Center,Hartford,06105,"420 Brookfield St, Hartford, CT, 06105",Infant/Toddler,Julienene Davis,(860) 549-4380,,DCCC.12610; Registry 648,28,0,0,28,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Wilson Gray YMCA Youth and Family Center,Provider,Early Start CT funded child care,Child Care Center,Hartford,06120,"444 Albany Ave, Hartford, CT, 06120",Infant/Toddler; Preschool,Valencia Williams,(860) 241-9622,,DCCC 70713; Registry 11921,15,8,0,23,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Womens League Child Development Center Inc.,Provider,Early Start CT funded child care,Child Care Center,Hartford,06120,"1695 Main St, Hartford, CT, 06120",Infant/Toddler; Preschool,Karen Lott,(860) 524-5969,,DCCC.14248; Registry 1753,88,111,0,199,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
YWCA Growing Tree ELC,Provider,Early Start CT funded child care,Child Care Center,Hartford,06105,"195 Garden St #205, Hartford, CT, 06105",Infant/Toddler; Preschool,Jen Madley,(860) 548-2003,,DCCC.15312; Registry 656,14,23,0,37,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Hebron Early Childhood Center,Provider,Early Start CT funded child care,Public School,Hebron,06248,"580 Gilead St, Hebron, CT, 06248",Preschool,Katie Uriano,(860) 228-9458,,DCEX.80719; Registry 2039,0,18,0,18,Andover/Hebron/Lebanon LGP,Teresa Surprenant | TSurprenant@eastconn.org,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Carelot Children's Center Killingly,Provider,Early Start CT funded child care,Child Care Center,Killingly,06239,"155 North St, Killingly, CT, 06239",Infant/Toddler; Preschool; School age,Holly Bevilacqua,(860) 425-6566,,DCCC.16485; Registry 1630,8,8,8,24,Northeast Early Childhood Council (NECC),Kristine Cicchetti | mrscicch95@sbcglobal.net | 860-431-0830,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
EASTCONN Danielson Head Start,Provider,Early Start CT funded child care,Child Care Center,Killingly,06239,"562 Westcott Rd, Killingly, CT, 06239",Infant/Toddler,Kimberly Mansfield,N/A,,DCCC.16287; Registry 1326,8,0,0,8,Northeast Early Childhood Council (NECC),Kristine Cicchetti | mrscicch95@sbcglobal.net | 860-431-0830,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Killingly Boe At Goodyear Early Childhood Center,Provider,Early Start CT funded child care,Public School,Killingly,06263,"22 Williamsville Rd, PO Box 218, Killingly, CT, 06263",Preschool,Sally Sherman,(860) 779-6770,,EXEMPT; Registry 1752,0,90,0,90,Northeast Early Childhood Council (NECC),Kristine Cicchetti | mrscicch95@sbcglobal.net | 860-431-0830,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
